"behavior","cluster_id","cluster_label"
"leave sharp objects lying around","11","to leave"
"have exposed electrical wiring","16","to interact with objects"
"changing clothes","6","to manage clothing"
"use a body scrub","47","to use cosmetics"
"flash your headlights at someone","46","to be in the dark"
"talk with someone","49","to interact"
"take something","28","to bring items"
"work on the weekend","16","to interact with objects"
"show up on time","15","to interact with others"
"sift through trash","24","to clean"
"buy a sexy lingerie","2","to buy"
"determine the business's hours","15","to interact with others"
"keep live chickens","35","to interact with animals"
"have a pick-up game","18","to play"
"carry a kirpan","28","to bring items"
"force people to turn off their electronic devices","15","to interact with others"
"help set up the event","15","to interact with others"
"show up alone","40","to go"
"close an account","15","to interact with others"
"play the accordion","13",""
"use the house cleaning supplies","24","to clean"
"leave food on the floor","27","to lie on the floor"
"play a violent game","18","to play"
"bring toys to play with","28","to bring items"
"buy a gift for a romantic partner","2","to buy"
"sulking","9","to express negative emotions"
"leave food or drink","11","to leave"
"bring your own utensils","28","to bring items"
"say something bad about the nation's leaders","9","to express negative emotions"
"engage in horseplay","35","to interact with animals"
"expose yourself","17","to engage in sexual activities"
"leave the windows open","33","to enter spaces"
"openly criticize the government","9","to express negative emotions"
"look up at the stars","38","to look"
"buy the cheapest flour","2","to buy"
"buy a sex toy","2","to buy"
"untangle a fishing line","5","to be in water"
"roll around on the ground","27","to lie on the floor"
"hurt animals","35","to interact with animals"
"hand out flyers","26","to perform tasks"
"wear your pajamas in public","6","to manage clothing"
"hit a piñata","18","to play"
"make a small purchase","2","to buy"
"use a purse","7",""
"shout slogans","9","to express negative emotions"
"throwing up","9","to express negative emotions"
"hide under the bleachers","20","to sit"
"bring your own drink","1","to consume beverages"
"wear a leather jacket","22","to wear"
"open the cages","33","to enter spaces"
"go without an id","40","to go"
"climb on machinery","4","to climb"
"look at the advertisements","38","to look"
"whisper","39","to make loud noises"
"install new carpet","27","to lie on the floor"
"bow to the doctor","15","to interact with others"
"hand out literature","26","to perform tasks"
"hire employees","15","to interact with others"
"do carpentry","16","to interact with objects"
"take more than 3 showers a day","5","to be in water"
"extract dna","23","to check"
"massage someone's feet","44","to touch someone"
"eat the vegetables","31","to eat"
"advocate for ideals","42","to discuss"
"listen to traditional folk music","13",""
"bury a body","8","to participate in religious practices"
"apply sunscreen to your entire body","47","to use cosmetics"
"have a loud party","39","to make loud noises"
"remove debris by hand","16","to interact with objects"
"boo someone for their political beliefs","9","to express negative emotions"
"leave your food unfinished","25","to serve food"
"monitor media coverage","23","to check"
"build a snow fort","34","to engage with the art community"
"leave without asking permission","11","to leave"
"lay down on the track","20","to sit"
"look around often","38","to look"
"swerve","10","to move around"
"wear a designer dress","22","to wear"
"go in the sauna","5","to be in water"
"yawning","30","to sleep"
"wear a kara","22","to wear"
"ask for a wheelchair","12","to ask for something"
"answer the door without your shoes on","33","to enter spaces"
"leave young children unattended","41","to care for children"
"wear a bright colors","22","to wear"
"tap your fingers on the counter","14","to use your hands"
"put up a bird feeder","34","to engage with the art community"
"confess your sins","8","to participate in religious practices"
"take blood thinners","47","to use cosmetics"
"go through other people's things","43","to engage in store operations"
"ask someone to dance","45","to dance"
"walk in front of the altar","8","to participate in religious practices"
"give a child medication","41","to care for children"
"deface a book","26","to perform tasks"
"ask someone personal questions about their sexuality","12","to ask for something"
"join the mile high club","4","to climb"
"point your finger at an idol","44","to touch someone"
"eat a cheeseburger","31","to eat"
"go to bed without a nightly cleaning routine","30","to sleep"
"brake the car","3","to drive"
"talk to witnesses","49","to interact"
"skip dessert","31","to eat"
"answer a question","12","to ask for something"
"eat a waffle","31","to eat"
"ask for a glass of water","1","to consume beverages"
"massage someone's head","44","to touch someone"
"pray or meditate","8","to participate in religious practices"
"go up to a group of people and start dancing","45","to dance"
"use a whistle","39","to make loud noises"
"run around the bank","10","to move around"
"use a dirty mat","24","to clean"
"run away","10","to move around"
"use dairy products","7",""
"organize the sales floor","27","to lie on the floor"
"miss a meal","25","to serve food"
"dance the jive","45","to dance"
"squeeze through the closing doors","33","to enter spaces"
"crossing your legs","10","to move around"
"show favoritism","9","to express negative emotions"
"take food from the mess hall","25","to serve food"
"train new staff","15","to interact with others"
"leave your child unattended","41","to care for children"
"leave your car unattended","11","to leave"
"harm an animal","35","to interact with animals"
